// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
kepler_689_b;Kepler-689;22,36656079;;1044;5518;10.05.2016;Kepler-689 b;;2,89;2016;http://exoplanet.eu/catalog/kepler-689_b/;;
kepler_69_b;Kepler-69;13,722341;;;5638;14.05.2014;Kepler-69 b;;2,24;2013;http://exoplanet.eu/catalog/kepler-69_b/;;
kepler_69_c;Kepler-69;242,4613;;;5638;14.05.2014;Kepler-69 c;;1,71;2013;http://exoplanet.eu/catalog/kepler-69_c/;;
kepler_690_b;Kepler-690;7,74809437;;1653;5913;10.05.2016;Kepler-690 b;;5,95;2016;http://exoplanet.eu/catalog/kepler-690_b/;;
kepler_691_b;Kepler-691;8,114379;;239;3715;10.05.2016;Kepler-691 b;;2,09;2016;http://exoplanet.eu/catalog/kepler-691_b/;;
kepler_692_b;Kepler-692;21,81293494;;1000;5440;10.05.2016;Kepler-692 b;;3,11;2016;http://exoplanet.eu/catalog/kepler-692_b/;;
kepler_693_b;Kepler-693;15,37563332;;1002;4881;10.05.2016;Kepler-693 b;;10,18;2016;http://exoplanet.eu/catalog/kepler-693_b/;;
kepler_694_b;Kepler-694;6,36584161;;1023;5700;10.05.2016;Kepler-694 b;;2,8;2016;http://exoplanet.eu/catalog/kepler-694_b/;;
kepler_695_b;Kepler-695;3,04033042;;620;5181;10.05.2016;Kepler-695 b;;9,21;2016;http://exoplanet.eu/catalog/kepler-695_b/;;
kepler_696_b;Kepler-696;4,19042557;;1285;5903;10.05.2016;Kepler-696 b;;6,14;2016;http://exoplanet.eu/catalog/kepler-696_b/;;
kepler_697_b;Kepler-697;3,70987065;;1091;5513;10.05.2016;Kepler-697 b;;4,13;2016;http://exoplanet.eu/catalog/kepler-697_b/;;
kepler_698_b;Kepler-698;16,32976218;;1135;5612;10.05.2016;Kepler-698 b;;3,68;2016;http://exoplanet.eu/catalog/kepler-698_b/;;
kepler_699_b;Kepler-699;27,80756293;;888;5330;10.05.2016;Kepler-699 b;;14,11;2016;http://exoplanet.eu/catalog/kepler-699_b/;;
kepler_7_b;Kepler-7;4,8854892;0,14;;5933;15.10.2015;Kepler-7 b;140,16303;18,181;2009;http://exoplanet.eu/catalog/kepler-7_b/;;
kepler_700_b;Kepler-700;80,8720639;;1061;5692;10.05.2016;Kepler-700 b;;5,99;2016;http://exoplanet.eu/catalog/kepler-700_b/;;
kepler_701_b;Kepler-701;10,35533177;;755;5343;10.05.2016;Kepler-701 b;;2,84;2016;http://exoplanet.eu/catalog/kepler-701_b/;;
kepler_702_b;Kepler-702;10,52629406;;892;5419;10.05.2016;Kepler-702 b;;9,17;2016;http://exoplanet.eu/catalog/kepler-702_b/;;
kepler_703_b;Kepler-703;4,58352176;;1482;6185;10.05.2016;Kepler-703 b;;8,2;2016;http://exoplanet.eu/catalog/kepler-703_b/;;
kepler_704_b;Kepler-704;3,76182115;;1054;5616;10.05.2016;Kepler-704 b;;2,61;2016;http://exoplanet.eu/catalog/kepler-704_b/;;
kepler_705_b;Kepler-705;56,0560538;;251;3722;10.05.2016;Kepler-705 b;;2,11;2016;http://exoplanet.eu/catalog/kepler-705_b/;;
kepler_706_b;Kepler-706;41,40831347;;810;5394;10.05.2016;Kepler-706 b;;13,17;2016;http://exoplanet.eu/catalog/kepler-706_b/;;
kepler_707_b;Kepler-707;2,23749275;;626;5099;10.05.2016;Kepler-707 b;;1,33;2016;http://exoplanet.eu/catalog/kepler-707_b/;;
kepler_708_b;Kepler-708;3,16789194;;1241;5692;10.05.2016;Kepler-708 b;;2,93;2016;http://exoplanet.eu/catalog/kepler-708_b/;;
kepler_709_b;Kepler-709;16,08524954;;668;5071;10.05.2016;Kepler-709 b;;2,92;2016;http://exoplanet.eu/catalog/kepler-709_b/;;
kepler_710_b;Kepler-710;4,34728553;;919;5611;10.05.2016;Kepler-710 b;;1,88;2016;http://exoplanet.eu/catalog/kepler-710_b/;;
kepler_711_b;Kepler-711;23,58914398;;664;5222;10.05.2016;Kepler-711 b;;3,41;2016;http://exoplanet.eu/catalog/kepler-711_b/;;
kepler_712_b;Kepler-712;21,02247699;;944;5148;10.05.2016;Kepler-712 b;;3,41;2016;http://exoplanet.eu/catalog/kepler-712_b/;;
kepler_712_c;Kepler-712;226,89047;;944;5148;10.05.2016;Kepler-712 c;;4,85;2016;http://exoplanet.eu/catalog/kepler-712_c/;;
kepler_713_b;Kepler-713;7,411141;;1003;5785;10.05.2016;Kepler-713 b;;2,48;2016;http://exoplanet.eu/catalog/kepler-713_b/;;
kepler_714_b;Kepler-714;8,09888799;;1460;5995;10.05.2016;Kepler-714 b;;9,67;2016;http://exoplanet.eu/catalog/kepler-714_b/;;
kepler_715_b;Kepler-715;10,00652995;;1214;5871;10.05.2016;Kepler-715 b;;3,75;2016;http://exoplanet.eu/catalog/kepler-715_b/;;
kepler_716_b;Kepler-716;10,37168453;;675;5099;10.05.2016;Kepler-716 b;;2,9;2016;http://exoplanet.eu/catalog/kepler-716_b/;;
kepler_717_b;Kepler-717;4,40840023;;1126;5485;10.05.2016;Kepler-717 b;;2,42;2016;http://exoplanet.eu/catalog/kepler-717_b/;;
kepler_718_b;Kepler-718;2,0523499;;1520;6191;10.05.2016;Kepler-718 b;;16,56;2016;http://exoplanet.eu/catalog/kepler-718_b/;;
kepler_719_b;Kepler-719;5,00731778;;1427;5777;10.05.2016;Kepler-719 b;;8,52;2016;http://exoplanet.eu/catalog/kepler-719_b/;;
kepler_720_b;Kepler-720;4,70832654;;880;5618;10.05.2016;Kepler-720 b;;8,41;2016;http://exoplanet.eu/catalog/kepler-720_b/;;
kepler_721_b;Kepler-721;5,39202539;;848;5075;10.05.2016;Kepler-721 b;;2,64;2016;http://exoplanet.eu/catalog/kepler-721_b/;;
kepler_722_b;Kepler-722;4,09357325;;1375;5863;10.05.2016;Kepler-722 b;;2,63;2016;http://exoplanet.eu/catalog/kepler-722_b/;;
kepler_722_c;Kepler-722;105,144749;;1375;5863;10.05.2016;Kepler-722 c;;2,82;2016;http://exoplanet.eu/catalog/kepler-722_c/;;
kepler_723_b;Kepler-723;4,08227507;;965;5539;10.05.2016;Kepler-723 b;;12,19;2016;http://exoplanet.eu/catalog/kepler-723_b/;;
kepler_724_b;Kepler-724;3,31494634;;862;5437;10.05.2016;Kepler-724 b;;3,29;2016;http://exoplanet.eu/catalog/kepler-724_b/;;
kepler_725_b;Kepler-725;39,64317811;;778;5363;10.05.2016;Kepler-725 b;;10,63;2016;http://exoplanet.eu/catalog/kepler-725_b/;;
kepler_726_b;Kepler-726;21,80451088;;838;5452;10.05.2016;Kepler-726 b;;3,26;2016;http://exoplanet.eu/catalog/kepler-726_b/;;
kepler_727_b;Kepler-727;5,15448442;;892;5441;10.05.2016;Kepler-727 b;;2,53;2016;http://exoplanet.eu/catalog/kepler-727_b/;;
kepler_728_b;Kepler-728;5,74347727;;1236;5660;10.05.2016;Kepler-728 b;;3,34;2016;http://exoplanet.eu/catalog/kepler-728_b/;;
kepler_729_b;Kepler-729;3,16635371;;1271;5633;10.05.2016;Kepler-729 b;;3,58;2016;http://exoplanet.eu/catalog/kepler-729_b/;;
kepler_730_b;Kepler-730;6,49168426;;1455;5726;10.05.2016;Kepler-730 b;;9,21;2016;http://exoplanet.eu/catalog/kepler-730_b/;;
kepler_731_b;Kepler-731;3,85560355;;1311;5849;10.05.2016;Kepler-731 b;;13,88;2016;http://exoplanet.eu/catalog/kepler-731_b/;;
kepler_732_b;Kepler-732;9,46781405;;150;3631;10.05.2016;Kepler-732 b;;2,18;2016;http://exoplanet.eu/catalog/kepler-732_b/;;
kepler_732_c;Kepler-732;0,89304124;;150;3631;10.05.2016;Kepler-732 c;;1,27;2016;http://exoplanet.eu/catalog/kepler-732_c/;;
kepler_733_b;Kepler-733;20,83424726;;980;5418;10.05.2016;Kepler-733 b;;2,82;2016;http://exoplanet.eu/catalog/kepler-733_b/;;
kepler_734_b;Kepler-734;6,10485286;;553;5326;10.05.2016;Kepler-734 b;;3,56;2016;http://exoplanet.eu/catalog/kepler-734_b/;;
kepler_735_b;Kepler-735;11,51516988;;790;5107;10.05.2016;Kepler-735 b;;2,95;2016;http://exoplanet.eu/catalog/kepler-735_b/;;
kepler_736_b;Kepler-736;3,60147201;;1007;5217;10.05.2016;Kepler-736 b;;2,93;2016;http://exoplanet.eu/catalog/kepler-736_b/;;
kepler_737_b;Kepler-737;28,59915399;;195;3813;10.05.2016;Kepler-737 b;;1,96;2016;http://exoplanet.eu/catalog/kepler-737_b/;;
kepler_738_b;Kepler-738;24,58721573;;992;5327;10.05.2016;Kepler-738 b;;2,5;2016;http://exoplanet.eu/catalog/kepler-738_b/;;
kepler_739_b;Kepler-739;12,53248465;;1128;5601;10.05.2016;Kepler-739 b;;3,32;2016;http://exoplanet.eu/catalog/kepler-739_b/;;
kepler_74_b;Kepler-74;7,340711;0,88;1330;6000;29.01.2015;Kepler-74 b;200,22;10,76;2013;http://exoplanet.eu/catalog/kepler-74_b/;;
kepler_740_b;Kepler-740;3,58410122;;1262;5438;10.05.2016;Kepler-740 b;;4,57;2016;http://exoplanet.eu/catalog/kepler-740_b/;;
kepler_741_b;Kepler-741;7,03902374;;1530;6129;10.05.2016;Kepler-741 b;;2,97;2016;http://exoplanet.eu/catalog/kepler-741_b/;;
kepler_742_b;Kepler-742;8,36086824;;499;4642;10.05.2016;Kepler-742 b;;3,24;2016;http://exoplanet.eu/catalog/kepler-742_b/;;
kepler_743_b;Kepler-743;3,17926292;;258;5486;10.05.2016;Kepler-743 b;;1,21;2016;http://exoplanet.eu/catalog/kepler-743_b/;;
kepler_744_b;Kepler-744;12,06222443;;486;5594;10.05.2016;Kepler-744 b;;1,62;2016;http://exoplanet.eu/catalog/kepler-744_b/;;
kepler_745_b;Kepler-745;9,93143556;;1199;5849;10.05.2016;Kepler-745 b;;2,16;2016;http://exoplanet.eu/catalog/kepler-745_b/;;
kepler_746_b;Kepler-746;3,48159251;;450;5418;10.05.2016;Kepler-746 b;;1,11;2016;http://exoplanet.eu/catalog/kepler-746_b/;;
kepler_747_b;Kepler-747;35,61760587;;855;5096;10.05.2016;Kepler-747 b;;5,27;2016;http://exoplanet.eu/catalog/kepler-747_b/;;
kepler_748_b;Kepler-748;7,40742793;;1271;5934;10.05.2016;Kepler-748 b;;2,52;2016;http://exoplanet.eu/catalog/kepler-748_b/;;
kepler_749_b;Kepler-749;17,31716585;;753;5009;10.05.2016;Kepler-749 b;;3,1;2016;http://exoplanet.eu/catalog/kepler-749_b/;;
kepler_75_b;Kepler-75;8,8849116;11;1140;5200;29.01.2015;Kepler-75 b;3209,9;11,77;2013;http://exoplanet.eu/catalog/kepler-75_b/;;
kepler_750_b;Kepler-750;9,42887179;;1181;6160;10.05.2016;Kepler-750 b;;3,07;2016;http://exoplanet.eu/catalog/kepler-750_b/;;
kepler_750_c;Kepler-750;4,08899022;;1181;6160;10.05.2016;Kepler-750 c;;1,62;2016;http://exoplanet.eu/catalog/kepler-750_c/;;
kepler_751_b;Kepler-751;17,44490636;;748;5387;10.05.2016;Kepler-751 b;;2,46;2016;http://exoplanet.eu/catalog/kepler-751_b/;;
kepler_752_b;Kepler-752;18,82747265;;1075;5373;10.05.2016;Kepler-752 b;;2,81;2016;http://exoplanet.eu/catalog/kepler-752_b/;;
kepler_753_b;Kepler-753;5,74772501;;278;4346;10.05.2016;Kepler-753 b;;1,91;2016;http://exoplanet.eu/catalog/kepler-753_b/;;
kepler_754_b;Kepler-754;14,5596237;;1192;5935;10.05.2016;Kepler-754 b;;2,01;2016;http://exoplanet.eu/catalog/kepler-754_b/;;
kepler_755_b;Kepler-755;1,26909037;;368;5043;10.05.2016;Kepler-755 b;;1,76;2016;http://exoplanet.eu/catalog/kepler-755_b/;;
kepler_755_c;Kepler-755;2,85313364;;368;5043;10.05.2016;Kepler-755 c;;1,26;2016;http://exoplanet.eu/catalog/kepler-755_c/;;
kepler_756_b;Kepler-756;1,22486632;;852;5282;10.05.2016;Kepler-756 b;;1,12;2016;http://exoplanet.eu/catalog/kepler-756_b/;;
kepler_757_b;Kepler-757;1,02267882;;1016;6014;10.05.2016;Kepler-757 b;;1,36;2016;http://exoplanet.eu/catalog/kepler-757_b/;;
kepler_758_b;Kepler-758;12,1097104;;1353;6228;10.05.2016;Kepler-758 b;;2,48;2016;http://exoplanet.eu/catalog/kepler-758_b/;;
kepler_758_c;Kepler-758;4,75793986;;1353;6228;10.05.2016;Kepler-758 c;;1,69;2016;http://exoplanet.eu/catalog/kepler-758_c/;;
kepler_758_d;Kepler-758;20,4966197;;1353;6228;10.05.2016;Kepler-758 d;;2,12;2016;http://exoplanet.eu/catalog/kepler-758_d/;;
kepler_758_e;Kepler-758;8,1934719;;1353;6228;10.05.2016;Kepler-758 e;;1,53;2016;http://exoplanet.eu/catalog/kepler-758_e/;;
kepler_759_b;Kepler-759;41,805985;;892;5860;10.05.2016;Kepler-759 b;;2,27;2016;http://exoplanet.eu/catalog/kepler-759_b/;;
kepler_76_b;Kepler-76;1,5449298;1,1;;6409;15.10.2015;Kepler-76 b;638,8383;15,244;2013;http://exoplanet.eu/catalog/kepler-76_b/;;
kepler_760_b;Kepler-760;8,70419416;;782;5322;10.05.2016;Kepler-760 b;;3,06;2016;http://exoplanet.eu/catalog/kepler-760_b/;;
kepler_760_c;Kepler-760;2,46697439;;782;5322;10.05.2016;Kepler-760 c;;1,48;2016;http://exoplanet.eu/catalog/kepler-760_c/;;
kepler_761_b;Kepler-761;10,12804789;;867;5706;10.05.2016;Kepler-761 b;;2,03;2016;http://exoplanet.eu/catalog/kepler-761_b/;;
kepler_762_b;Kepler-762;3,7705521;;1465;5944;10.05.2016;Kepler-762 b;;12,68;2016;http://exoplanet.eu/catalog/kepler-762_b/;;
kepler_763_b;Kepler-763;1,19655156;;902;5166;10.05.2016;Kepler-763 b;;1,22;2016;http://exoplanet.eu/catalog/kepler-763_b/;;
kepler_764_b;Kepler-764;7,33683936;;1013;5557;10.05.2016;Kepler-764 b;;1,64;2016;http://exoplanet.eu/catalog/kepler-764_b/;;
kepler_765_b;Kepler-765;27,6655226;;1000;5901;10.05.2016;Kepler-765 b;;2,43;2016;http://exoplanet.eu/catalog/kepler-765_b/;;
kepler_766_b;Kepler-766;6,10027804;;1614;5992;10.05.2016;Kepler-766 b;;3,39;2016;http://exoplanet.eu/catalog/kepler-766_b/;;
kepler_767_b;Kepler-767;161,5280101;;1185;5694;10.05.2016;Kepler-767 b;;6,64;2016;http://exoplanet.eu/catalog/kepler-767_b/;;
kepler_768_b;Kepler-768;11,3910025;;795;5108;10.05.2016;Kepler-768 b;;1,79;2016;http://exoplanet.eu/catalog/kepler-768_b/;;
kepler_769_b;Kepler-769;7,42608998;;1362;6186;10.05.2016;Kepler-769 b;;2,92;2016;http://exoplanet.eu/catalog/kepler-769_b/;;
kepler_769_c;Kepler-769;15,9870174;;1362;6186;10.05.2016;Kepler-769 c;;1,79;2016;http://exoplanet.eu/catalog/kepler-769_c/;;
kepler_77_b;Kepler-77;3,57878087;0,603;570;5520;14.05.2014;Kepler-77 b;136,661;10,761;2013;http://exoplanet.eu/catalog/kepler-77_b/;;
kepler_770_b;Kepler-770;18,92540274;;761;5598;10.05.2016;Kepler-770 b;;2,3;2016;http://exoplanet.eu/catalog/kepler-770_b/;;
kepler_770_c;Kepler-770;1,47532231;;761;5598;10.05.2016;Kepler-770 c;;1,2;2016;http://exoplanet.eu/catalog/kepler-770_c/;;
kepler_770_d;Kepler-770;4,15244722;;761;5598;10.05.2016;Kepler-770 d;;1,4;2016;http://exoplanet.eu/catalog/kepler-770_d/;;
kepler_771_b;Kepler-771;8,73485836;;1000;5906;10.05.2016;Kepler-771 b;;1,82;2016;http://exoplanet.eu/catalog/kepler-771_b/;;
kepler_772_b;Kepler-772;12,99207337;;689;5714;10.05.2016;Kepler-772 b;;1,82;2016;http://exoplanet.eu/catalog/kepler-772_b/;;
kepler_773_b;Kepler-773;3,74910006;;528;5850;10.05.2016;Kepler-773 b;;1,43;2016;http://exoplanet.eu/catalog/kepler-773_b/;;
kepler_774_b;Kepler-774;11,0895723;;1190;6403;10.05.2016;Kepler-774 b;;3,17;2016;http://exoplanet.eu/catalog/kepler-774_b/;;
kepler_775_b;Kepler-775;0,97486893;;400;5468;10.05.2016;Kepler-775 b;;1,19;2016;http://exoplanet.eu/catalog/kepler-775_b/;;
kepler_776_b;Kepler-776;4,89718784;;727;5071;10.05.2016;Kepler-776 b;;1,28;2016;http://exoplanet.eu/catalog/kepler-776_b/;;
kepler_777_b;Kepler-777;5,72812599;;383;4043;10.05.2016;Kepler-777 b;;1,47;2016;http://exoplanet.eu/catalog/kepler-777_b/;;
kepler_778_b;Kepler-778;3,75574426;;899;5102;10.05.2016;Kepler-778 b;;1,68;2016;http://exoplanet.eu/catalog/kepler-778_b/;;
kepler_779_b;Kepler-779;7,09714223;;224;3804;10.05.2016;Kepler-779 b;;0,92;2016;http://exoplanet.eu/catalog/kepler-779_b/;;
kepler_78_b;Kepler-78;0,355;5,57;;5058;14.05.2014;Kepler-78 b;1,86;1,173;2013;http://exoplanet.eu/catalog/kepler-78_b/;;
kepler_780_b;Kepler-780;0,67737516;;520;5769;10.05.2016;Kepler-780 b;;0,89;2016;http://exoplanet.eu/catalog/kepler-780_b/;;
kepler_781_b;Kepler-781;13,2140732;;1036;5162;10.05.2016;Kepler-781 b;;2,89;2016;http://exoplanet.eu/catalog/kepler-781_b/;;
kepler_782_b;Kepler-782;158,6853308;;412;5867;10.05.2016;Kepler-782 b;;3,21;2016;http://exoplanet.eu/catalog/kepler-782_b/;;
kepler_783_b;Kepler-783;4,29264638;;544;5521;10.05.2016;Kepler-783 b;;0,78;2016;http://exoplanet.eu/catalog/kepler-783_b/;;
kepler_784_b;Kepler-784;31,5922646;;604;5674;10.05.2016;Kepler-784 b;;1,58;2016;http://exoplanet.eu/catalog/kepler-784_b/;;
kepler_785_b;Kepler-785;1,97376093;;666;4739;10.05.2016;Kepler-785 b;;13,02;2016;http://exoplanet.eu/catalog/kepler-785_b/;;
kepler_786_b;Kepler-786;53,5293487;;512;4838;10.05.2016;Kepler-786 b;;2,43;2016;http://exoplanet.eu/catalog/kepler-786_b/;;
kepler_787_b;Kepler-787;0,9283105;;468;4248;10.05.2016;Kepler-787 b;;1,28;2016;http://exoplanet.eu/catalog/kepler-787_b/;;
kepler_788_b;Kepler-788;8,39846269;;1649;6159;10.05.2016;Kepler-788 b;;2,55;2016;http://exoplanet.eu/catalog/kepler-788_b/;;
kepler_789_b;Kepler-789;8,63847725;;915;5870;10.05.2016;Kepler-789 b;;2,12;2016;http://exoplanet.eu/catalog/kepler-789_b/;;
kepler_79_b;Kepler-79;13,4845;1,43;;6174;10.03.2016;Kepler-79 b;10,9;3,47;2012;http://exoplanet.eu/catalog/kepler-79_b/;;
kepler_79_c;Kepler-79;27,4029;0,62;;6174;10.03.2016;Kepler-79 c;5,9;3,72;2012;http://exoplanet.eu/catalog/kepler-79_c/;;
kepler_79_d;Kepler-79;52,0902;0,09;;6174;10.03.2016;Kepler-79 d;6;7,16;2014;http://exoplanet.eu/catalog/kepler-79_d/;;
kepler_79_e;Kepler-79;81,0659;0,53;;6174;10.03.2016;Kepler-79 e;4,1;3,49;2014;http://exoplanet.eu/catalog/kepler-79_e/;;
kepler_790_b;Kepler-790;13,73469807;;727;5208;10.05.2016;Kepler-790 b;;2,18;2016;http://exoplanet.eu/catalog/kepler-790_b/;;
kepler_791_b;Kepler-791;14,5539759;;1447;6383;10.05.2016;Kepler-791 b;;3,05;2016;http://exoplanet.eu/catalog/kepler-791_b/;;
kepler_792_b;Kepler-792;11,30119217;;1205;5971;10.05.2016;Kepler-792 b;;1,96;2016;http://exoplanet.eu/catalog/kepler-792_b/;;
kepler_793_b;Kepler-793;4,24153639;;794;5745;10.05.2016;Kepler-793 b;;1,37;2016;http://exoplanet.eu/catalog/kepler-793_b/;;
kepler_794_b;Kepler-794;11,13125132;;763;5839;10.05.2016;Kepler-794 b;;2,11;2016;http://exoplanet.eu/catalog/kepler-794_b/;;
kepler_795_b;Kepler-795;29,6193421;;458;5631;10.05.2016;Kepler-795 b;;1,68;2016;http://exoplanet.eu/catalog/kepler-795_b/;;
kepler_796_b;Kepler-796;6,40087618;;377;5475;10.05.2016;Kepler-796 b;;1,3;2016;http://exoplanet.eu/catalog/kepler-796_b/;;
kepler_797_b;Kepler-797;27,07237711;;752;5680;10.05.2016;Kepler-797 b;;2,17;2016;http://exoplanet.eu/catalog/kepler-797_b/;;
kepler_798_b;Kepler-798;13,71933369;;1085;6224;10.05.2016;Kepler-798 b;;2,39;2016;http://exoplanet.eu/catalog/kepler-798_b/;;
kepler_799_b;Kepler-799;133,4605235;;1029;5681;10.05.2016;Kepler-799 b;;6,88;2016;http://exoplanet.eu/catalog/kepler-799_b/;;
kepler_8_b;Kepler-8;3,5224991;0,27;1330;6213;15.10.2015;Kepler-8 b;187,5197;15,872;2010;http://exoplanet.eu/catalog/kepler-8_b/;;
kepler_80_b;Kepler-80;7,05246;1,38;357;4540;04.08.2016;Kepler-80 b;6,93;2,67;2012;http://exoplanet.eu/catalog/kepler-80_b/;;
kepler_80_c;Kepler-80;9,52355;1,22;357;4540;04.08.2016;Kepler-80 c;6,74;2,74;2012;http://exoplanet.eu/catalog/kepler-80_c/;;
kepler_80_d;Kepler-80;3,07222;7,04;357;4540;04.08.2016;Kepler-80 d;6,75;1,53;2014;http://exoplanet.eu/catalog/kepler-80_d/;;
kepler_80_e;Kepler-80;4,64489;3,75;357;4540;04.08.2016;Kepler-80 e;4,13;1,6;2014;http://exoplanet.eu/catalog/kepler-80_e/;;
kepler_80_f;Kepler-80;0,9867873;;357;4540;04.08.2016;Kepler-80 f;;1,21;2016;http://exoplanet.eu/catalog/kepler-80_f/;;
kepler_800_b;Kepler-800;14,13176026;;1049;5315;10.05.2016;Kepler-800 b;;2,85;2016;http://exoplanet.eu/catalog/kepler-800_b/;;
kepler_801_b;Kepler-801;11,41928253;;419;4435;10.05.2016;Kepler-801 b;;2;2016;http://exoplanet.eu/catalog/kepler-801_b/;;
kepler_802_b;Kepler-802;40,0587473;;828;5507;10.05.2016;Kepler-802 b;;3,54;2016;http://exoplanet.eu/catalog/kepler-802_b/;;
kepler_803_b;Kepler-803;50,28638192;;615;5919;10.05.2016;Kepler-803 b;;3,79;2016;http://exoplanet.eu/catalog/kepler-803_b/;;
kepler_804_b;Kepler-804;14,37457351;;648;5817;10.05.2016;Kepler-804 b;;1,94;2016;http://exoplanet.eu/catalog/kepler-804_b/;;
kepler_804_c;Kepler-804;9,65185017;;648;5817;10.05.2016;Kepler-804 c;;1,14;2016;http://exoplanet.eu/catalog/kepler-804_c/;;
kepler_805_b;Kepler-805;30,8638931;;657;6112;10.05.2016;Kepler-805 b;;2,89;2016;http://exoplanet.eu/catalog/kepler-805_b/;;
kepler_806_b;Kepler-806;8,09219642;;260;5770;10.05.2016;Kepler-806 b;;1,14;2016;http://exoplanet.eu/catalog/kepler-806_b/;;
kepler_807_b;Kepler-807;117,9310878;;1312;5965;10.05.2016;Kepler-807 b;;10,42;2016;http://exoplanet.eu/catalog/kepler-807_b/;;
kepler_808_b;Kepler-808;0,63133235;;321;4653;10.05.2016;Kepler-808 b;;1,46;2016;http://exoplanet.eu/catalog/kepler-808_b/;;
kepler_809_b;Kepler-809;55,63934;;933;5734;10.05.2016;Kepler-809 b;;3,01;2016;http://exoplanet.eu/catalog/kepler-809_b/;;
kepler_81_b;Kepler-81;5,955;;;4500;14.05.2014;Kepler-81 b;;2,42;2012;http://exoplanet.eu/catalog/kepler-81_b/;;
kepler_81_c;Kepler-81;12,04;;;4500;14.05.2014;Kepler-81 c;;2,37;2012;http://exoplanet.eu/catalog/kepler-81_c/;;
kepler_81_d;Kepler-81;20,837846;;;4500;14.05.2014;Kepler-81 d;;1,21;2014;http://exoplanet.eu/catalog/kepler-81_d/;;
kepler_810_b;Kepler-810;4,59725385;;1554;5803;10.05.2016;Kepler-810 b;;1,93;2016;http://exoplanet.eu/catalog/kepler-810_b/;;
kepler_811_b;Kepler-811;23,58447697;;847;5747;10.05.2016;Kepler-811 b;;2,7;2016;http://exoplanet.eu/catalog/kepler-811_b/;;
kepler_812_b;Kepler-812;10,11716531;;1482;6761;10.05.2016;Kepler-812 b;;3,55;2016;http://exoplanet.eu/catalog/kepler-812_b/;;
kepler_813_b;Kepler-813;19,12947337;;840;5743;10.05.2016;Kepler-813 b;;2,14;2016;http://exoplanet.eu/catalog/kepler-813_b/;;
kepler_814_b;Kepler-814;6,1469851;;1327;6162;10.05.2016;Kepler-814 b;;2,12;2016;http://exoplanet.eu/catalog/kepler-814_b/;;
kepler_815_b;Kepler-815;8,57503552;;1199;5028;10.05.2016;Kepler-815 b;;4,11;2016;http://exoplanet.eu/catalog/kepler-815_b/;;
kepler_816_b;Kepler-816;10,50682565;;1059;5286;10.05.2016;Kepler-816 b;;10,24;2016;http://exoplanet.eu/catalog/kepler-816_b/;;
kepler_817_b;Kepler-817;3,99010623;;1401;5861;10.05.2016;Kepler-817 b;;9,03;2016;http://exoplanet.eu/catalog/kepler-817_b/;;
kepler_818_b;Kepler-818;10,03538581;;967;5638;10.05.2016;Kepler-818 b;;5,11;2016;http://exoplanet.eu/catalog/kepler-818_b/;;
kepler_819_b;Kepler-819;33,1995648;;722;5279;10.05.2016;Kepler-819 b;;2,76;2016;http://exoplanet.eu/catalog/kepler-819_b/;;
kepler_82_b;Kepler-82;26,444;;;5428;14.05.2014;Kepler-82 b;;4;2012;http://exoplanet.eu/catalog/kepler-82_b/;;
kepler_82_c;Kepler-82;51,538;;;5428;14.05.2014;Kepler-82 c;;5,35;2012;http://exoplanet.eu/catalog/kepler-82_c/;;
kepler_82_d;Kepler-82;2,382961;;;5428;14.05.2014;Kepler-82 d;;1,77;2014;http://exoplanet.eu/catalog/kepler-82_d/;;
kepler_82_e;Kepler-82;5,902206;;;5428;14.05.2014;Kepler-82 e;;2,47;2014;http://exoplanet.eu/catalog/kepler-82_e/;;
kepler_820_b;Kepler-820;127,8338098;;989;6260;10.05.2016;Kepler-820 b;;6,09;2016;http://exoplanet.eu/catalog/kepler-820_b/;;
kepler_821_b;Kepler-821;1,92279873;;619;5191;10.05.2016;Kepler-821 b;;1,31;2016;http://exoplanet.eu/catalog/kepler-821_b/;;
kepler_822_b;Kepler-822;3,22296927;;956;5928;10.05.2016;Kepler-822 b;;1,77;2016;http://exoplanet.eu/catalog/kepler-822_b/;;
kepler_823_b;Kepler-823;4,16809082;;896;5643;10.05.2016;Kepler-823 b;;1,57;2016;http://exoplanet.eu/catalog/kepler-823_b/;;
kepler_824_b;Kepler-824;4,51436633;;1352;6035;10.05.2016;Kepler-824 b;;1,87;2016;http://exoplanet.eu/catalog/kepler-824_b/;;
kepler_825_b;Kepler-825;3,77360059;;820;5976;10.05.2016;Kepler-825 b;;1,53;2016;http://exoplanet.eu/catalog/kepler-825_b/;;
kepler_825_c;Kepler-825;8,1818246;;820;5976;10.05.2016;Kepler-825 c;;1,84;2016;http://exoplanet.eu/catalog/kepler-825_c/;;
kepler_826_b;Kepler-826;4,48758907;;649;6079;10.05.2016;Kepler-826 b;;1,25;2016;http://exoplanet.eu/catalog/kepler-826_b/;;
