// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
gj_317_b;GJ 317;692;;15,1;3510;27.08.2014;GJ 317 b;794,5;;2007;http://exoplanet.eu/catalog/gj_317_b/;;
gj_328_b;GJ 328;4100;;20,03;3900;14.05.2014;GJ 328 b;;;2013;http://exoplanet.eu/catalog/gj_328_b/;;HIP 43790
gj_3293_b;GJ 3293;30,5987;;15,77;3466;30.03.2017;GJ 3293 b;;;2015;http://exoplanet.eu/catalog/gj_3293_b/;;
gj_3293_c;GJ 3293;122,6196;;15,77;3466;30.03.2017;GJ 3293 c;;;2015;http://exoplanet.eu/catalog/gj_3293_d/;;
gj_3293_d;GJ 3293;48,1345;;15,77;3466;30.03.2017;GJ 3293 d;;;2017;http://exoplanet.eu/catalog/gj_3293_d/;;
gj_3293_e;GJ 3293;13,2543;;15,77;3466;30.03.2017;GJ 3293 e;;;2017;http://exoplanet.eu/catalog/gj_3293_e/;;
gj_3323_b;GJ 3323;5,3636;;5,32;3159;30.03.2017;GJ 3323 b;;;2017;http://exoplanet.eu/catalog/gj_3323_b/;;
gj_3323_c;GJ 3323;40,54;;5,32;3159;30.03.2017;GJ 3323 c;;;2017;http://exoplanet.eu/catalog/gj_3323_c/;;
gj_3341_b;GJ 3341;14,207;;;3526;03.12.2014;GJ 3341 b;;;2015;http://exoplanet.eu/catalog/gj_3341_b/;;
gj_3470_b;GJ 3470;3,3366487;1,18;25,2;3652;23.07.2014;GJ 3470 b;13,73;3,88;2012;http://exoplanet.eu/catalog/gj_3470_b/;;
gj_3634_b;GJ 3634;2,64561;;19,8;;21.08.2014;GJ 3634 b;8,4;;2010;http://exoplanet.eu/catalog/gj_3634_b/;;
gj_3998_b;GJ 3998;2,64977;;17,79;3722;28.07.2016;GJ 3998 b;;;2016;http://exoplanet.eu/catalog/gj_3998_b/;;HIP 84460
gj_3998_c;GJ 3998;13,74;;17,79;3722;28.07.2016;GJ 3998 c;;;2016;http://exoplanet.eu/catalog/gj_3998_c/;;HIP 84460
gj_433_b;GJ 433;7,3709;;9,04;3600;14.05.2014;GJ 433 b;;;2011;http://exoplanet.eu/catalog/gj_433_b/;;HIP 56528
gj_436_b;GJ 436;2,64388312;1,8;10,23;;05.02.2015;GJ 436 b;22,1;4,17;2004;http://exoplanet.eu/catalog/gj_436_b/;;HIP 57087
gj_504_b;GJ 504;;;17,95;6234;14.05.2014;GJ 504 b;1271,3;;2013;http://exoplanet.eu/catalog/gj_504_b/;HD 115383;HIP 64792
gj_536_b;GJ 536;8,7076;;10,03;3685;17.11.2016;GJ 536 b;;;2016;http://exoplanet.eu/catalog/gj_536/;HD 122303;HIP 68469
gj_581_b;GJ 581;5,3686;;6,27;;09.07.2014;GJ 581 b;;;2005;http://exoplanet.eu/catalog/gl_581_b/;;HIP 74995
gj_581_c;GJ 581;12,914;;6,27;;09.07.2014;GJ 581 c;;;2007;http://exoplanet.eu/catalog/gl_581_c/;;HIP 74995
gj_581_e;GJ 581;3,149;;6,27;;09.07.2014;GJ 581 e;;;2009;http://exoplanet.eu/catalog/gl_581_e/;;HIP 74995
gj_649_b;GJ 649;598,3;;10,32;3700;14.05.2014;GJ 649 b;;;2009;http://exoplanet.eu/catalog/gl_649_b/;;HIP 83043
gj_667_c_b;GJ 667 C;7,2004;;6,8;3350;14.05.2014;GJ 667 C b;;;2011;http://exoplanet.eu/catalog/gj_667c_b/;;
gj_667_c_c;GJ 667 C;28,14;;6,8;3350;14.05.2014;GJ 667 C c;;;2011;http://exoplanet.eu/catalog/gj_667c_c/;;
